wavelength,responsivity
200,6.40E-02
210,6.60E-02
220,7.50E-02
230,9.20E-02
240,1.11E-01
250,1.18E-01
260,1.19E-01
270,1.34E-01
280,1.14E-01
290,1.20E-01
300,1.30E-01
310,1.27E-01
320,1.28E-01
330,1.26E-01
340,1.26E-01
350,1.24E-01
360,1.21E-01
370,1.22E-01
380,1.35E-01
390,1.50E-01
400,1.63E-01
410,1.75E-01
420,1.88E-01
430,1.99E-01
440,2.11E-01
450,2.23E-01
460,2.34E-01
470,2.46E-01
480,2.58E-01
490,2.70E-01
500,2.83E-01
510,2.94E-01
520,3.06E-01
530,3.18E-01
540,3.29E-01
550,3.41E-01
560,3.53E-01
570,3.64E-01
580,3.74E-01
590,3.85E-01
600,3.96E-01
610,4.05E-01
620,4.15E-01
630,4.24E-01
640,4.33E-01
650,4.42E-01
660,4.51E-01
670,4.60E-01
680,4.68E-01
690,4.76E-01
700,4.83E-01
710,4.91E-01
720,4.98E-01
730,5.05E-01
740,5.11E-01
750,5.18E-01
760,5.23E-01
770,5.28E-01
780,5.34E-01
790,5.39E-01
800,5.45E-01
810,5.49E-01
820,5.53E-01
830,5.57E-01
840,5.61E-01
850,5.63E-01
860,5.66E-01
870,5.69E-01
880,5.70E-01
890,5.71E-01
900,5.71E-01
910,5.72E-01
920,5.72E-01
930,5.64E-01
940,5.64E-01
950,5.62E-01
960,5.55E-01
970,5.44E-01
980,5.31E-01
990,5.20E-01
1000,5.06E-01
1010,4.91E-01
1020,4.75E-01
1030,4.54E-01
1040,4.27E-01
1050,3.92E-01
1060,3.52E-01
1070,3.15E-01
1080,2.81E-01
1090,2.49E-01
1100,2.20E-01
